profile_1,profile_2,profile_3,profile_4,profile_5,profile_6,profile_7,profile_8,profile_9
,control,control,control,control,treatment,treatment,treatment,treatment
MIR4640,11.0908,10.9026,11.0179,10.8964,11.1114,10.7081,10.7816,10.9772
RFC2,9.17181,9.37388,8.92401,9.26759,8.68935,8.72722,8.7649,8.94851
HSPA6,4.75309,4.80598,4.75098,4.62143,4.68957,4.99344,5.19707,4.98526
PAX8,7.59523,7.6627,7.7991,7.46872,7.61591,7.96512,7.55161,7.74409
GUCA1A,3.32483,3.16425,3.21624,3.17735,3.33109,3.41418,3.17104,3.12149
MIR5193,4.52843,4.69262,4.87697,4.61822,4.65626,4.89296,4.47219,4.80799
THRA,4.74624,4.9384,5.01507,4.73361,4.73413,5.06098,4.67579,4.79436
PTPN21,4.72647,4.82369,4.87811,4.7466,4.63871,5.0565,4.72689,4.72785
CCL5,3.32267,3.36755,3.65777,3.29141,3.34804,3.42334,3.26951,3.49418
CYP2E1,3.58982,3.55659,3.39269,3.41974,3.4864,3.47587,3.40464,3.31909
EPHB3,6.26112,6.23896,6.28006,6.46161,6.04846,6.13552,6.09713,6.09091
ESRRA,8.34099,8.31071,8.253,8.27424,8.06815,7.80356,7.9768,8.28025
CYP2A6,4.75357,4.70108,4.86056,4.56504,4.73525,4.80301,4.56965,4.74527
GAS6,7.29222,7.37177,7.51613,7.25913,7.30259,7.37925,7.10971,7.37282
MMP14,6.05107,5.89765,6.25642,5.74475,5.97077,6.17104,5.85558,6.00302
TRADD,8.43363,8.4234,8.44117,8.43846,8.35501,8.4426,8.52868,8.34824
CHURC1-FNTB,6.62683,6.76267,6.78115,6.89193,6.65381,6.66375,6.80405,6.65122
PLD1,4.57486,4.44161,4.61586,4.32422,4.55622,4.89882,4.82942,4.77021
DTX2P1-UPK3BP1-PMS2P11,8.05227,8.14085,8.33015,7.97347,8.0605,8.36539,8.00178,8.15334
BAD,7.74407,7.85147,7.59774,7.80723,7.49578,7.28991,7.56851,7.55964
PRPF8,9.87154,10.0652,10.0203,9.9541,10.002,9.96072,10.0189,9.9752
CAPNS1,11.7423,11.6667,11.6588,11.5996,11.6955,11.6163,11.6408,11.702
RPL35,13.2553,13.134,13.1592,13.0989,13.1716,13.0368,13.1032,13.1925
MIR6805,13.8654,13.8902,13.8707,13.8812,13.8579,13.835,13.8947,13.8689
EIF4G2,12.2314,12.301,12.2319,12.4177,12.1489,12.0987,12.2863,12.2073
EIF3D,11.3559,11.4116,11.328,11.4041,11.4237,11.3837,11.4947,11.388
PARK7,12.7115,12.8398,12.7474,12.7723,12.6873,12.5644,12.7667,12.7316
SRP14,12.4983,12.5321,12.3901,12.4764,12.4428,12.38,12.4029,12.412
GDI2,11.1031,11.1953,11.2094,11.2121,11.1675,11.2107,11.249,11.1444
GDI2,12.3777,12.4935,12.4392,12.5206,12.4385,12.5099,12.5821,12.4563
RPL11,13.3473,13.3528,13.2907,13.2914,13.3577,13.1923,13.3354,13.2995
